,carat,clarity,color,cut,x_dimension,y_dimension,z_dimension,depth,table,price
0,0.21428571428571425, if, d, ideal,0.3529411764705883,0.37168141592920345,0.37799043062200965,0.1666666666666643,0.4779874213836468,3000.0
1,0.35714285714285704, vvs2, e, premium,0.5294117647058825,0.580062599923439,0.5311004784688995,0.44444444444444287,0.8333333333333321,4500.0
2,0.4261083743842364, si2, h, good,0.11764705882352944,0.12389380530973426,0.6176868503547266,0.6111111111111072,0.33333333333333215,700.0
3,0.7142857142857142, if, d, ideal,0.5857454092748211,0.864306784660767,0.8564593301435408,0.27777777777777857,0.6666666666666661,10000.0
4,0.49999999999999994, i1, j, fair,0.6176470588235294,0.580062599923439,0.6172248803827753,0.27777777777777857,0.4779874213836468,2400.0
5,0.4261083743842364, si1, g, very good,0.5882352941176472,0.59882005899705,0.5837320574162679,0.6300705467372154,0.5,4200.0
6,0.21428571428571425, if, d, ideal,0.3529411764705883,0.580062599923439,0.37799043062200965,0.1666666666666643,0.5,3100.0
7,0.14285714285714285, vvs1, f, good,0.26470588235294135,0.2654867256637168,0.2583732057416268,0.6300705467372154,0.4779874213836468,1500.0
9,0.5714285714285714, vvs1, f, ideal,0.7352941176470591,0.580062599923439,0.7607655502392345,0.6300705467372154,0.6666666666666661,7500.0
11,0.14285714285714285, vvs2, g, very good,0.2941176470588238,0.2920353982300883,0.6176868503547266,0.0,0.33333333333333215,1400.0
12,0.4261083743842364, si2, j, fair,0.5294117647058825,0.5368731563421827,0.5406698564593302,0.6300705467372154,0.0,2000.0
13,0.6428571428571428, vvs1, e, premium,0.7941176470588236,0.580062599923439,0.799043062200957,0.6300705467372154,0.5,9200.0
14,0.25, si2, h, good,0.41176470588235303,0.4129793510324482,0.6176868503547266,0.44444444444444287,0.4779874213836468,1800.0
16,0.21428571428571425, si1, g, very good,0.3823529411764708,0.580062599923439,0.37799043062200965,0.6300705467372154,0.33333333333333215,2300.0
18,0.28571428571428564, si2, h, good,0.47058823529411775,0.4808259587020647,0.6176868503547266,0.6300705467372154,0.5,2200.0
19,0.35714285714285704, i1, j, fair,0.5857454092748211,0.5604719764011798,0.5550239234449761,0.22222222222222143,0.4779874213836468,2100.0
20,0.4261083743842364, vvs1, f, ideal,0.6470588235294119,0.6666666666666667,0.7129186602870814,0.3333333333333286,0.5,6000.0
21,0.7857142857142856, si1, g, premium,0.882352941176471,0.580062599923439,0.904306220095694,1.0,1.0,10500.0
22,0.857142857142857, if, d, good,0.9411764705882355,0.9528023598820057,0.6176868503547266,0.6666666666666643,0.8333333333333321,11000.0
23,0.4261083743842364, vvs2, e, good,0.2058823529411764,0.20353982300884943,0.21052631578947367,0.6300705467372154,0.33333333333333215,800.0
24,1.0, i1, i, fair,1.0,1.0,1.0000000000000002,0.6300705467372154,0.0,3400.0
25,0.0, si1, h, very good,0.0,0.0,0.0,0.5,0.4779874213836468,500.0
26,0.1071428571428571, if, g, ideal,0.17647058823529416,0.18584070796460161,0.6176868503547266,0.38888888888888573,0.33333333333333215,1300.0
27,0.4261083743842364, vvs2, g, good,0.2058823529411764,0.580062599923439,0.20095693779904322,0.5555555555555571,0.5,1600.0
28,0.25, i1, j, premium,0.4411764705882355,0.4513274336283184,0.44976076555023936,0.5,0.4779874213836468,2500.0
29,0.4261083743842364, vvs1, d, ideal,0.8235294117647061,0.831858407079646,0.8325358851674645,0.6300705467372154,0.6666666666666661,7700.0
30,0.3214285714285714, si2, colorless, very good,0.5,0.580062599923439,0.5071770334928232,0.6111111111111072,0.6666666666666661,2900.0
31,0.9285714285714284, vvs2, f, good,0.9705882352941178,0.9705014749262535,0.6176868503547266,0.8333333333333357,0.8333333333333321,10800.0
32,0.49999999999999994, si2, h, fair,0.6470588235294119,0.6578171091445426,0.6555023923444976,0.6666666666666643,0.4779874213836468,2600.0
33,0.4261083743842364, vvs1, e, premium,0.882352941176471,0.580062599923439,0.8899521531100476,0.5555555555555571,0.5,9300.0
34,0.17857142857142855, si2, i, good,0.2941176470588238,0.3008849557522124,0.6176868503547266,0.5,0.33333333333333215,1700.0
35,0.28571428571428564, vvs2, g, good,0.47058823529411775,0.471976401179941,0.6176868503547266,0.6300705467372154,0.6666666666666661,2800.0
36,0.4261083743842364, si1, f, very good,0.41176470588235303,0.41887905604719733,0.42583732057416257,0.44444444444444287,0.5,2700.0
37,0.5357142857142856, if, d, ideal,0.7058823529411766,0.580062599923439,0.7129186602870814,0.7777777777777786,0.6666666666666661,9400.0
38,0.607142857142857, si2, j, good,0.7941176470588236,0.7935103244837758,0.6176868503547266,0.8333333333333357,0.4779874213836468,8500.0
